option,dimension,indicator,sr15_code,option_family,city_indicator,sign,scope
Sharing schemes,environmental,water_use,B,transport,(SR1.5 code B: no directional evidence),0,""
Sharing schemes,geophysical,global_spread,B,transport,(SR1.5 code B: no directional evidence),0,""
Electric cars and buses,environmental,water_use,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Electric cars and buses,environmental,biodiversity,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Land-use & urban planning,geophysical,limited_scarce_resources,LE,cross_cutting,(SR1.5 code LE: no directional evidence),0,""
Non-motorised transport,economic,employment_productivity,B,transport,(SR1.5 code B: no directional evidence),0,""
Aviation & shipping,economic,employment_productivity,B,transport,(SR1.5 code B: no directional evidence),0,""
Public transport,technological,simplicity,B,transport,(SR1.5 code B: no directional evidence),0,""
Aviation & shipping,economic,distributional_effects,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,technological,simplicity,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,technological,absence_of_risk,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,institutional,political_acceptability,B,transport,(SR1.5 code B: no directional evidence),0,""
Non-motorised transport,institutional,institutional_capacity,B,transport,(SR1.5 code B: no directional evidence),0,""
Public transport,socio_cultural,public_acceptance,B,transport,(SR1.5 code B: no directional evidence),0,""
Non-motorised transport,socio_cultural,public_acceptance,B,transport,(SR1.5 code B: no directional evidence),0,""
Aviation & shipping,socio_cultural,public_acceptance,B,transport,(SR1.5 code B: no directional evidence),0,""
Public transport,institutional,transparency_accountability,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,socio_cultural,social_co_benefits,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,environmental,water_use,B,transport,(SR1.5 code B: no directional evidence),0,""
Aviation & shipping,environmental,biodiversity,B,transport,(SR1.5 code B: no directional evidence),0,""
Aviation & shipping,geophysical,limited_scarce_resources,B,transport,(SR1.5 code B: no directional evidence),0,""
Aviation & shipping,socio_cultural,inclusiveness,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,socio_cultural,intergenerational_equity,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Public transport,environmental,toxic_waste,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Non-motorised transport,environmental,toxic_waste,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Public transport,environmental,water_use,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Non-motorised transport,environmental,water_use,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Non-motorised transport,environmental,biodiversity,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Aviation & shipping,geophysical,limited_land_use,LE,transport,(SR1.5 code LE: no directional evidence),0,""
Smart grids,economic,cost-effectiveness,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Smart grids,economic,distributional_effects,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Efficient appliances,economic,distributional_effects,B,buildings,(SR1.5 code B: no directional evidence),0,""
Efficient appliances,economic,employment_productivity,B,buildings,(SR1.5 code B: no directional evidence),0,""
Smart grids,technological,maturity,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Low/zero-energy buildings,technological,maturity,B,buildings,(SR1.5 code B: no directional evidence),0,""
Smart grids,technological,absence_of_risk,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Smart grids,institutional,political_acceptability,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Efficient appliances,institutional,institutional_capacity,B,buildings,(SR1.5 code B: no directional evidence),0,""
Low/zero-energy buildings,institutional,institutional_capacity,B,buildings,(SR1.5 code B: no directional evidence),0,""
Low/zero-energy buildings,socio_cultural,social_co_benefits,B,buildings,(SR1.5 code B: no directional evidence),0,""
Low/zero-energy buildings,technological,simplicity,LE,buildings,(SR1.5 code LE: no directional evidence),0,""
Efficient appliances,technological,absence_of_risk,NE,buildings,(SR1.5 code NE: no directional evidence),0,""
Low/zero-energy buildings,technological,absence_of_risk,NE,buildings,(SR1.5 code NE: no directional evidence),0,""
Efficient appliances,institutional,transparency_accountability,LE,buildings,(SR1.5 code LE: no directional evidence),0,""
Low/zero-energy buildings,institutional,transparency_accountability,LE,buildings,(SR1.5 code LE: no directional evidence),0,""
Smart grids,socio_cultural,public_acceptance,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Efficient appliances,socio_cultural,inclusiveness,B,buildings,(SR1.5 code B: no directional evidence),0,""
Low/zero-energy buildings,environmental,air_pollution,B,buildings,(SR1.5 code B: no directional evidence),0,""
Smart grids,environmental,toxic_waste,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Low/zero-energy buildings,socio_cultural,public_acceptance,NE,buildings,(SR1.5 code NE: no directional evidence),0,""
Low/zero-energy buildings,socio_cultural,inclusiveness,NE,buildings,(SR1.5 code NE: no directional evidence),0,""
Low/zero-energy buildings,socio_cultural,human_capabilities,NE,buildings,(SR1.5 code NE: no directional evidence),0,""
Smart grids,geophysical,limited_scarce_resources,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Smart grids,geophysical,global_spread,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Efficient appliances,geophysical,limited_scarce_resources,LE,buildings,(SR1.5 code LE: no directional evidence),0,""
Bio-based & circularity,economic,cost-effectiveness,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,economic,cost-effectiveness,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,economic,employment_productivity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Bio-based & circularity,economic,employment_productivity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,economic,employment_productivity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Bio-based & circularity,technological,maturity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,technological,maturity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,technological,simplicity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,economic,distributional_effects,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Bio-based & circularity,economic,distributional_effects,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,economic,distributional_effects,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Industrial CCS,economic,distributional_effects,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,economic,employment_productivity,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Electrification & hydrogen,technological,simplicity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Industrial CCS,technological,absence_of_risk,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,institutional,political_acceptability,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,institutional,legal_admin_acceptability,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,institutional,institutional_capacity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,institutional,institutional_capacity,B,industrial,(SR1.5 code B: no directional evidence),0,""
Bio-based & circularity,technological,absence_of_risk,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Electrification & hydrogen,technological,absence_of_risk,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,institutional,political_acceptability,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Electrification & hydrogen,institutional,legal_admin_acceptability,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,institutional,institutional_capacity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,institutional,transparency_accountability,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Industrial CCS,institutional,transparency_accountability,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,socio_cultural,social_co_benefits,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,socio_cultural,public_acceptance,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Bio-based & circularity,socio_cultural,inclusiveness,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,socio_cultural,human_capabilities,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,environmental,water_use,B,industrial,(SR1.5 code B: no directional evidence),0,""
Energy efficiency,geophysical,physical_feasibility,B,industrial,(SR1.5 code B: no directional evidence),0,""
Electrification & hydrogen,geophysical,physical_feasibility,B,industrial,(SR1.5 code B: no directional evidence),0,""
Industrial CCS,socio_cultural,inclusiveness,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,socio_cultural,intergenerational_equity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Industrial CCS,socio_cultural,intergenerational_equity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,socio_cultural,human_capabilities,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Electrification & hydrogen,socio_cultural,human_capabilities,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Industrial CCS,socio_cultural,human_capabilities,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Bio-based & circularity,environmental,air_pollution,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,environmental,air_pollution,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Energy efficiency,environmental,toxic_waste,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,environmental,toxic_waste,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,environmental,toxic_waste,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Industrial CCS,environmental,toxic_waste,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,environmental,water_use,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,environmental,water_use,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Energy efficiency,environmental,biodiversity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Bio-based & circularity,environmental,biodiversity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Electrification & hydrogen,environmental,biodiversity,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Industrial CCS,environmental,biodiversity,LE,industrial,(SR1.5 code LE: no directional evidence),0,""
Electrification & hydrogen,geophysical,limited_land_use,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
Industrial CCS,geophysical,limited_land_use,NE,industrial,(SR1.5 code NE: no directional evidence),0,""
BECCS,economic,distributional_effects,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
BECCS,technological,maturity,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
BECCS,socio_cultural,social_co_benefits,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
BECCS,institutional,transparency_accountability,LE,energy_supply,(SR1.5 code LE: no directional evidence),0,""
DACCS,institutional,transparency_accountability,LE,energy_supply,(SR1.5 code LE: no directional evidence),0,""
BECCS,socio_cultural,inclusiveness,LE,energy_supply,(SR1.5 code LE: no directional evidence),0,""
DACCS,socio_cultural,inclusiveness,NE,energy_supply,(SR1.5 code NE: no directional evidence),0,""
BECCS,socio_cultural,intergenerational_equity,NE,energy_supply,(SR1.5 code NE: no directional evidence),0,""
DACCS,socio_cultural,intergenerational_equity,NE,energy_supply,(SR1.5 code NE: no directional evidence),0,""
BECCS,geophysical,physical_feasibility,B,energy_supply,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,economic,distributional_effects,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,economic,employment_productivity,B,nbs,(SR1.5 code B: no directional evidence),0,""
Soil carbon sequestration & biochar,technological,technical_scalability,B,nbs,(SR1.5 code B: no directional evidence),0,""
Enhanced weathering,technological,technical_scalability,B,nbs,(SR1.5 code B: no directional evidence),0,""
Enhanced weathering,economic,distributional_effects,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,economic,employment_productivity,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Afforestation & reforestation,institutional,institutional_capacity,B,nbs,(SR1.5 code B: no directional evidence),0,""
Soil carbon sequestration & biochar,institutional,transparency_accountability,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,socio_cultural,public_acceptance,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,socio_cultural,inclusiveness,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,technological,simplicity,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Soil carbon sequestration & biochar,technological,simplicity,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,technological,simplicity,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Afforestation & reforestation,technological,absence_of_risk,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Soil carbon sequestration & biochar,technological,absence_of_risk,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,technological,absence_of_risk,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Afforestation & reforestation,institutional,political_acceptability,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Soil carbon sequestration & biochar,institutional,political_acceptability,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,institutional,political_acceptability,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Soil carbon sequestration & biochar,institutional,institutional_capacity,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Enhanced weathering,institutional,institutional_capacity,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Afforestation & reforestation,institutional,transparency_accountability,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Enhanced weathering,institutional,transparency_accountability,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Soil carbon sequestration & biochar,socio_cultural,social_co_benefits,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,socio_cultural,social_co_benefits,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,socio_cultural,public_acceptance,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Soil carbon sequestration & biochar,socio_cultural,inclusiveness,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,socio_cultural,inclusiveness,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,environmental,air_pollution,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,environmental,water_use,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,environmental,biodiversity,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,geophysical,physical_feasibility,B,nbs,(SR1.5 code B: no directional evidence),0,""
Soil carbon sequestration & biochar,geophysical,physical_feasibility,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,socio_cultural,human_capabilities,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Soil carbon sequestration & biochar,socio_cultural,human_capabilities,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,socio_cultural,human_capabilities,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Soil carbon sequestration & biochar,environmental,toxic_waste,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Enhanced weathering,environmental,toxic_waste,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Enhanced weathering,environmental,water_use,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Soil carbon sequestration & biochar,environmental,biodiversity,NE,nbs,(SR1.5 code NE: no directional evidence),0,""
Afforestation & reforestation,geophysical,global_spread,B,nbs,(SR1.5 code B: no directional evidence),0,""
Soil carbon sequestration & biochar,geophysical,global_spread,B,nbs,(SR1.5 code B: no directional evidence),0,""
Afforestation & reforestation,geophysical,limited_scarce_resources,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
Enhanced weathering,geophysical,limited_scarce_resources,LE,nbs,(SR1.5 code LE: no directional evidence),0,""
