comuna_cut,region_cut,comuna,fcm_dependency_pct_2025,fet_royalty_mineria_mclp_2025,ipp_percapita_mclp_2025,poverty_casen_pct_2025,presup_percapita_mclp_2025,professionalization_pct_2025,staff_contrata_directivo_2025,staff_contrata_profesional_2025,staff_directivo_total_2025,staff_planta_directivo_2025,staff_planta_profesional_2025,staff_profesional_total_2025,staff_total_2025,fcm_dependency_pct_2024,fet_royalty_mineria_mclp_2024,ipp_percapita_mclp_2024,poverty_casen_pct_2024,presup_percapita_mclp_2024,professionalization_pct_2024,staff_contrata_directivo_2024,staff_contrata_profesional_2024,staff_directivo_total_2024,staff_planta_directivo_2024,staff_planta_profesional_2024,staff_profesional_total_2024,staff_total_2024
10305,10,Río Negro,73.43,372857.0,91.73,8.3,426.15,56.9,0.0,8.0,10.0,10.0,4.0,12.0,58.0,70.47,158918.0,96.98,8.31,409.09,51.72,0.0,9.0,8.0,8.0,5.0,14.0,58.0
10306,10,San Juan De La Costa,93.13,398517.0,57.95,12.9,1023.95,40.0,0.0,11.0,7.0,7.0,4.0,15.0,55.0,91.67,169860.0,58.22,12.85,880.15,42.0,0.0,10.0,7.0,7.0,4.0,14.0,50.0
10307,10,San Pablo,71.32,340934.0,117.75,9.8,557.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.02,145946.0,112.76,9.83,508.59,,,,,,,,
10401,10,Chaitén,71.16,322986.0,265.26,9.0,1269.75,32.69,0.0,1.0,9.0,9.0,3.0,4.0,52.0,69.19,139083.0,255.12,8.95,1107.5,32.0,0.0,1.0,8.0,8.0,3.0,4.0,50.0
10402,10,Futaleufú,88.02,288285.0,141.35,5.6,1719.2,52.94,0.0,1.0,8.0,8.0,5.0,6.0,34.0,87.17,123515.0,144.64,5.6,1509.65,48.39,0.0,0.0,7.0,7.0,5.0,5.0,31.0
10403,10,Hualaihué,77.56,327372.0,133.69,10.4,1047.11,50.0,0.0,5.0,9.0,9.0,5.0,10.0,74.0,74.77,141258.0,126.24,10.36,629.81,40.63,0.0,5.0,8.0,8.0,5.0,10.0,64.0
10404,10,Palena,90.5,290950.0,147.7,9.1,2279.54,42.86,0.0,0.0,6.0,6.0,3.0,3.0,35.0,90.8,124586.0,127.84,9.12,1768.42,42.42,0.0,2.0,7.0,7.0,3.0,5.0,33.0
11101,11,Coyhaique,58.43,472578.0,137.82,2.9,443.96,51.74,0.0,18.0,10.0,10.0,30.0,48.0,172.0,59.34,205026.0,130.4,2.88,441.46,41.58,0.0,17.0,10.0,10.0,30.0,47.0,202.0
11102,11,Lago Verde,83.93,283223.0,472.31,0.9,3641.51,58.33,0.0,2.0,8.0,8.0,0.0,2.0,24.0,85.15,121394.0,376.39,0.87,3152.49,33.33,0.0,3.0,15.0,15.0,0.0,3.0,12.0
11201,11,Aysén,61.11,392862.0,178.73,5.3,578.78,42.03,0.0,6.0,11.0,11.0,12.0,18.0,138.0,62.48,168178.0,161.98,5.28,545.47,44.44,0.0,5.0,10.0,10.0,11.0,16.0,135.0
11202,11,Cisnes,48.66,312874.0,506.94,5.0,1358.5,40.91,0.0,4.0,6.0,6.0,4.0,8.0,44.0,48.98,133757.0,459.52,4.95,1200.51,42.86,0.0,6.0,6.0,6.0,5.0,11.0,42.0
11203,11,Guaitecas,73.11,284335.0,524.33,6.1,2834.39,40.91,0.0,5.0,6.0,6.0,1.0,6.0,44.0,70.34,121752.0,531.07,6.05,2438.04,33.33,0.0,2.0,6.0,6.0,1.0,3.0,36.0
11301,11,Cochrane,85.67,296740.0,134.06,6.3,1525.18,71.43,0.0,2.0,6.0,6.0,0.0,2.0,14.0,85.66,128768.0,114.66,6.33,1355.7,66.67,0.0,3.0,6.0,6.0,10.0,13.0,21.0
11302,11,O´Higgins,95.31,279689.0,174.25,9.2,7840.59,63.16,0.0,0.0,6.0,6.0,0.0,0.0,19.0,93.46,119614.0,228.38,9.16,4856.01,63.16,0.0,4.0,7.0,7.0,1.0,5.0,19.0
11303,11,Tortel,95.39,279403.0,191.71,4.6,5871.56,58.33,0.0,3.0,6.0,6.0,1.0,4.0,24.0,95.93,119563.0,149.37,4.59,4744.17,58.33,0.0,3.0,6.0,6.0,2.0,5.0,24.0
