comuna_cut,region_cut,comuna,fcm_dependency_pct_2025,fet_royalty_mineria_mclp_2025,ipp_percapita_mclp_2025,poverty_casen_pct_2025,presup_percapita_mclp_2025,professionalization_pct_2025,staff_contrata_directivo_2025,staff_contrata_profesional_2025,staff_directivo_total_2025,staff_planta_directivo_2025,staff_planta_profesional_2025,staff_profesional_total_2025,staff_total_2025,fcm_dependency_pct_2024,fet_royalty_mineria_mclp_2024,ipp_percapita_mclp_2024,poverty_casen_pct_2024,presup_percapita_mclp_2024,professionalization_pct_2024,staff_contrata_directivo_2024,staff_contrata_profesional_2024,staff_directivo_total_2024,staff_planta_directivo_2024,staff_planta_profesional_2024,staff_profesional_total_2024,staff_total_2024
13505,13,San Pedro,71.36,363223.0,103.33,14.1,495.49,52.54,0.0,6.0,11.0,11.0,3.0,9.0,59.0,67.09,155459.0,111.36,14.1,428.69,49.06,0.0,7.0,10.0,10.0,3.0,10.0,53.0
13601,13,Talagante,55.33,792000.0,88.99,6.3,276.84,24.45,0.0,6.0,16.0,16.0,21.0,27.0,274.0,55.02,345926.0,85.96,6.26,250.46,22.71,0.0,0.0,16.0,16.0,24.0,24.0,251.0
13602,13,El Monte,62.05,492467.0,86.27,7.1,279.39,56.16,0.0,7.0,11.0,11.0,9.0,16.0,146.0,59.74,187694.0,83.35,7.08,270.06,33.04,0.0,9.0,10.0,10.0,9.0,18.0,112.0
13603,13,Isla De Maipo,45.95,416544.0,125.88,6.4,285.23,25.69,0.0,9.0,10.0,10.0,18.0,27.0,109.0,48.17,168416.0,108.59,6.42,263.46,31.43,0.0,7.0,9.0,9.0,9.0,16.0,105.0
13604,13,Padre Hurtado,69.66,485661.0,82.91,3.7,331.33,31.0,0.0,8.0,10.0,10.0,21.0,29.0,200.0,44.15,242248.0,117.5,3.66,266.13,31.22,0.0,11.0,10.0,10.0,21.0,32.0,189.0
13605,13,Peñaflor,59.0,1080939.0,79.66,7.3,240.68,38.2,36.0,40.0,72.0,36.0,35.0,75.0,356.0,59.84,443441.0,73.2,7.33,228.72,,,,,,,,
14101,14,Valdivia,56.39,727085.0,127.4,3.4,353.39,42.63,0.0,77.0,51.0,51.0,62.0,139.0,638.0,58.99,314651.0,112.63,3.43,325.63,42.97,0.0,78.0,59.0,59.0,54.0,132.0,619.0
14102,14,Corral,89.97,331318.0,71.95,7.6,897.25,52.38,0.0,4.0,10.0,10.0,8.0,12.0,42.0,88.2,140808.0,74.25,7.59,786.11,45.71,0.0,1.0,8.0,8.0,5.0,6.0,35.0
14103,14,Lanco,79.82,457813.0,78.74,3.9,465.81,40.86,0.0,10.0,10.0,10.0,3.0,13.0,93.0,80.47,200044.0,61.73,3.94,416.91,41.67,0.0,9.0,10.0,10.0,3.0,12.0,96.0
14104,14,Los Lagos,67.23,398213.0,97.13,6.7,377.76,32.99,0.0,0.0,14.0,14.0,4.0,4.0,97.0,67.45,169806.0,89.96,6.73,358.56,34.04,0.0,0.0,13.0,13.0,3.0,3.0,94.0
14105,14,Máfil,76.07,327165.0,119.55,7.2,785.06,41.67,0.0,9.0,6.0,6.0,4.0,13.0,60.0,76.52,137017.0,106.41,7.16,623.2,38.6,0.0,8.0,5.0,5.0,7.0,15.0,57.0
14106,14,Mariquina,75.25,481068.0,91.11,7.9,451.26,37.04,0.0,6.0,11.0,11.0,6.0,12.0,108.0,74.87,187243.0,81.59,7.85,403.99,34.62,0.0,7.0,12.0,12.0,3.0,10.0,104.0
14107,14,Paillaco,68.55,393427.0,108.47,6.4,442.3,34.62,0.0,13.0,10.0,10.0,8.0,21.0,104.0,67.96,173684.0,92.12,6.43,380.23,44.74,0.0,12.0,15.0,15.0,8.0,20.0,114.0
14108,14,Panguipulli,64.61,457515.0,160.75,10.2,902.43,43.93,0.0,23.0,11.0,11.0,21.0,44.0,173.0,66.27,195332.0,144.48,10.2,835.22,45.81,0.0,31.0,10.0,10.0,21.0,52.0,179.0
14201,14,La Unión,62.94,470090.0,118.19,8.7,372.24,36.3,0.0,14.0,8.0,8.0,13.0,27.0,146.0,63.36,202610.0,100.8,8.65,350.63,,,,,,12.0,12.0,
14202,14,Futrono,56.8,342327.0,189.76,9.3,610.94,42.5,0.0,0.0,13.0,13.0,3.0,3.0,80.0,60.65,147046.0,151.92,9.31,520.22,44.19,0.0,1.0,14.0,14.0,3.0,4.0,86.0
14203,14,Lago Ranco,45.12,331283.0,391.87,12.4,1123.32,57.32,0.0,10.0,10.0,10.0,12.0,22.0,82.0,43.55,142278.0,389.86,12.37,1124.69,56.47,0.0,15.0,10.0,10.0,11.0,26.0,85.0
14204,14,Río Bueno,69.38,486372.0,100.75,5.7,412.11,40.71,0.0,24.0,8.0,8.0,6.0,30.0,113.0,66.85,214316.0,96.91,5.72,377.58,40.83,0.0,21.0,12.0,12.0,8.0,29.0,120.0
15101,15,Arica,57.0,1650251.0,94.54,9.1,259.31,,,,,,,,,57.05,657934.0,91.82,9.14,250.92,,,,,,,,
15102,15,Camarones,77.7,305444.0,601.83,12.6,3973.91,61.54,0.0,2.0,6.0,6.0,3.0,5.0,26.0,67.25,130862.0,915.53,12.58,4177.88,,,,,,,,
15201,15,Putre,91.71,343521.0,126.27,7.3,2018.99,50.0,0.0,5.0,6.0,6.0,3.0,8.0,34.0,86.11,147426.0,197.62,7.35,1792.04,53.57,0.0,2.0,7.0,7.0,3.0,5.0,28.0
15202,15,General Lagos,94.98,282875.0,150.54,21.2,3675.24,47.06,0.0,2.0,5.0,5.0,1.0,3.0,17.0,89.92,121118.0,278.2,21.24,3891.97,52.94,0.0,2.0,5.0,5.0,2.0,4.0,17.0
16101,16,Chillán,49.15,0.0,124.27,10.5,295.2,35.16,0.0,66.0,16.0,16.0,65.0,131.0,438.0,49.66,0.0,119.58,10.51,287.47,33.41,0.0,64.0,16.0,16.0,71.0,135.0,449.0
16102,16,Bulnes,77.54,509083.0,83.24,12.7,413.81,45.26,0.0,0.0,8.0,8.0,6.0,6.0,95.0,73.59,223052.0,81.9,12.74,360.79,41.94,0.0,19.0,8.0,8.0,6.0,25.0,93.0
16103,16,Chillán Viejo,65.7,519998.0,101.32,8.5,400.93,54.78,0.0,16.0,10.0,10.0,5.0,21.0,115.0,65.55,238376.0,88.38,8.55,332.44,58.26,0.0,17.0,11.0,11.0,7.0,24.0,115.0
16104,16,El Carmen,79.99,408457.0,96.18,14.9,646.22,43.61,0.0,11.0,13.0,13.0,9.0,20.0,133.0,79.86,181847.0,81.33,14.92,483.65,40.18,0.0,10.0,16.0,16.0,10.0,20.0,112.0
16105,16,Pemuco,66.85,348253.0,179.03,19.0,635.52,53.13,0.0,3.0,6.0,6.0,5.0,8.0,64.0,66.57,150003.0,160.06,19.02,579.25,50.77,0.0,3.0,7.0,7.0,5.0,8.0,65.0
16106,16,Pinto,65.12,353149.0,149.29,10.3,532.08,44.78,0.0,7.0,8.0,8.0,6.0,13.0,67.0,64.84,151522.0,140.94,10.27,506.98,37.68,0.0,7.0,9.0,9.0,8.0,15.0,69.0
16107,16,Quillón,88.21,518377.0,88.01,16.0,831.89,29.29,0.0,27.0,13.0,13.0,8.0,35.0,140.0,88.57,224924.0,78.9,15.97,758.48,29.03,0.0,21.0,9.0,9.0,6.0,27.0,93.0
16108,16,San Ignacio,86.05,556588.0,57.64,15.7,511.43,,,,,,,,,85.91,232476.0,51.07,15.74,411.27,,,,,,,,
16109,16,Yungay,79.85,439713.0,98.18,10.8,648.81,51.69,0.0,11.0,11.0,11.0,5.0,16.0,89.0,80.2,200640.0,92.37,10.83,508.35,52.44,0.0,12.0,10.0,10.0,5.0,17.0,82.0
16201,16,Quirihue,83.17,451996.0,84.67,7.8,638.01,44.12,0.0,4.0,8.0,8.0,3.0,7.0,68.0,85.59,193003.0,61.85,7.77,529.96,34.78,0.0,0.0,8.0,8.0,8.0,8.0,69.0
16202,16,Cobquecura,86.28,354215.0,151.95,19.1,1394.57,,,,,,,,,85.28,151519.0,128.37,19.05,1042.8,,,,,,,,
16203,16,Coelemu,80.73,467850.0,83.04,13.0,517.51,42.68,0.0,5.0,9.0,9.0,8.0,13.0,82.0,80.92,210149.0,74.5,13.05,497.0,29.87,0.0,4.0,8.0,8.0,9.0,13.0,77.0
16204,16,Ninhue,91.33,381908.0,68.34,16.1,1270.6,35.9,0.0,0.0,8.0,8.0,2.0,2.0,39.0,90.22,164062.0,65.9,16.13,1024.78,42.55,0.0,8.0,6.0,6.0,1.0,9.0,47.0
16205,16,Portezuelo,87.51,368680.0,107.84,15.1,1034.72,56.25,0.0,2.0,9.0,9.0,4.0,6.0,64.0,87.03,157673.0,95.31,15.11,878.63,47.54,0.0,3.0,7.0,7.0,4.0,7.0,61.0
16206,16,Ránquil,76.4,352066.0,157.83,16.8,826.06,53.7,0.0,6.0,8.0,8.0,8.0,14.0,54.0,72.3,150735.0,173.06,16.77,867.18,50.0,0.0,5.0,8.0,8.0,8.0,13.0,54.0
16207,16,Trehuaco,89.23,368813.0,81.64,17.1,1006.05,22.64,0.0,14.0,7.0,7.0,3.0,17.0,106.0,89.09,157615.0,70.2,17.15,852.11,24.64,0.0,5.0,9.0,9.0,3.0,8.0,69.0
16301,16,San Carlos,75.93,932985.0,82.28,13.7,439.78,49.51,0.0,0.0,11.0,11.0,8.0,8.0,204.0,73.95,394624.0,72.62,13.69,309.45,47.06,0.0,27.0,16.0,16.0,7.0,34.0,136.0
16302,16,Coihueco,81.26,633473.0,69.36,13.5,405.15,47.62,0.0,0.0,10.0,10.0,8.0,8.0,105.0,81.58,262694.0,64.8,13.49,401.45,42.42,0.0,4.0,11.0,11.0,8.0,12.0,99.0
16303,16,Ñiquén,84.04,417611.0,85.23,13.8,755.1,74.55,0.0,15.0,9.0,9.0,19.0,34.0,55.0,81.01,180378.0,83.82,13.84,619.47,45.45,0.0,7.0,10.0,10.0,7.0,14.0,66.0
16304,16,San Fabián,77.22,313068.0,162.66,15.0,833.31,58.33,0.0,5.0,8.0,8.0,3.0,8.0,36.0,78.25,134085.0,137.34,14.96,728.6,60.47,0.0,6.0,7.0,7.0,4.0,10.0,43.0
16305,16,San Nicolás,68.28,373853.0,140.96,10.8,645.79,39.06,0.0,6.0,11.0,11.0,7.0,13.0,64.0,62.85,162685.0,154.67,10.78,629.82,40.98,0.0,5.0,10.0,10.0,6.0,11.0,61.0
