comuna_code,comuna_name,year,indicator_group,area_pct
CL14204,Río Bueno,2023,ice_snow,1.5
CL14204,Río Bueno,2023,other_bare,5.1
CL14204,Río Bueno,2023,pasture,51.7
CL14204,Río Bueno,2023,primary_forest,20.8
CL14204,Río Bueno,2023,secondary_forest,14.2
CL14204,Río Bueno,2023,shrubland,1.2
CL14204,Río Bueno,2023,silviculture,1.6
CL14204,Río Bueno,2023,urban_built,0.3
CL14204,Río Bueno,2023,water,3.0
CL14204,Río Bueno,2023,wetland,0.1
