region,comuna,region_nombre,comuna_nombre,attribute_type,attribute_value,attribute_units,attribute_category
14,14108,Los Ríos,Panguipulli,shrubland_share,0.9,percent,very low
14,14108,Los Ríos,Panguipulli,silviculture_share,2.3,percent,low
14,14108,Los Ríos,Panguipulli,urban_built_share,0.5,percent,very low
14,14108,Los Ríos,Panguipulli,water_share,8.5,percent,high
14,14108,Los Ríos,Panguipulli,wetland_share,0.3,percent,very low
14,14201,Los Ríos,La Unión,beach_dune_share,0.1,percent,low
14,14201,Los Ríos,La Unión,grassland_share,0.0,percent,very low
14,14201,Los Ríos,La Unión,pasture_share,26.8,percent,medium
14,14201,Los Ríos,La Unión,primary_forest_share,25.2,percent,medium
14,14201,Los Ríos,La Unión,secondary_forest_share,18.6,percent,medium
14,14201,Los Ríos,La Unión,shrubland_share,2.4,percent,low
14,14201,Los Ríos,La Unión,silviculture_share,24.3,percent,medium
14,14201,Los Ríos,La Unión,urban_built_share,0.4,percent,very low
14,14201,Los Ríos,La Unión,water_share,1.7,percent,low
14,14201,Los Ríos,La Unión,wetland_share,0.3,percent,very low
14,14202,Los Ríos,Futrono,beach_dune_share,0.0,percent,very low
14,14202,Los Ríos,Futrono,grassland_share,0.2,percent,very low
14,14202,Los Ríos,Futrono,ice_snow_share,1.5,percent,medium
14,14202,Los Ríos,Futrono,other_bare_share,1.9,percent,very low
14,14202,Los Ríos,Futrono,pasture_share,12.8,percent,low
14,14202,Los Ríos,Futrono,primary_forest_share,49.2,percent,high
14,14202,Los Ríos,Futrono,secondary_forest_share,23.3,percent,medium
14,14202,Los Ríos,Futrono,shrubland_share,0.6,percent,very low
14,14202,Los Ríos,Futrono,silviculture_share,1.9,percent,very low
14,14202,Los Ríos,Futrono,urban_built_share,0.1,percent,very low
14,14202,Los Ríos,Futrono,water_share,8.3,percent,high
14,14202,Los Ríos,Futrono,wetland_share,0.1,percent,very low
14,14203,Los Ríos,Lago Ranco,beach_dune_share,0.0,percent,very low
14,14203,Los Ríos,Lago Ranco,grassland_share,0.7,percent,very low
14,14203,Los Ríos,Lago Ranco,ice_snow_share,1.5,percent,medium
14,14203,Los Ríos,Lago Ranco,other_bare_share,9.5,percent,low
14,14203,Los Ríos,Lago Ranco,pasture_share,11.1,percent,low
