concurso,programa,region,provincia,area_comuna,codigo_pm,instrument_type,amount_clp,amount_currency,status,status_as_of,gpc_sector,climate_relevance,source_url
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412724,grant (incentivo),370010,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412541,grant (incentivo),648049,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411770,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412399,grant (incentivo),1272848,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412815,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412515,grant (incentivo),285911,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412729,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412739,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412903,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412491,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
