,Territory_code,Policy name,Type of Policy,Governance,Scale,Scale level_code,Region_code,Communal_Code,Sector_code,link
,2_00_00,Plan Regional de Ordenamiento Territorial,Territorial planning instruments,GORE,Regional,2,_00,_00,,*1 per Region
,2_00_00,Plan Regional de Desarrollo Urbano,Territorial planning instruments,GORE,Regional,2,_00,_00,,*1 per Region
,2_01_01,Plan Regional de Desarrollo Rural,Territorial planning instruments,GORE,Regional,2,_01,_01,,*1 per Region
,2_00_00,Estrategia de Desarrollo Regional,Territorial planning instruments,GORE,Regional,2,_00,_00,,*1 per Region
,3_03_03304,Programa para la recuperación Ambiental y Social - Huasco,Envirnomental Policy,Ministerio del Medio Ambiente,Communal,3,_03,_03304,,https://pras.mma.gob.cl/wp-content/uploads/2019/11/PRAS-Huasco.pdf
,3_05_05108,Programa para la recuperación Ambiental y Social - Quinteros-Puchuncavi,Envirnomental Policy,Ministerio del Medio Ambiente,Communal,3,_05,_05108,,https://pras.mma.gob.cl/wp-content/uploads/2019/11/PRAS-Quintero-Puchuncavi.pdf
,3_05_05107,Programa para la recuperación Ambiental y Social - Quinteros-Puchuncavi,Envirnomental Policy,Ministerio del Medio Ambiente,Communal,3,_05,_05107,,https://pras.mma.gob.cl/wp-content/uploads/2019/11/PRAS-Quintero-Puchuncavi.pdf
,3_06_08102,Programa para la recuperación Ambiental y Social - Coronel,Envirnomental Policy,Ministerio del Medio Ambiente,Communal,3,_06,_08102,,https://pras.mma.gob.cl/wp-content/uploads/2019/11/PRAS-Coronel.pdf
,3_00_00,Plan Regulador Comunal,Territorial planning instruments,Municipality,Communal,3,_00,_00,,*1 per Communa
,3_01_01,Plan de Desarrollo comunal,Territorial planning instruments,Municipality,Communal,3,_01,_01,,*1 per Communa
,3_00_00,Plan Comunal para la Reducción del Riesgo de Desastres,Territorial planning instruments,Municipality,Communal,3,_00,_00,,*1 per Communa
,3_00_00,Plan Comunal de Emergencia,Territorial planning instruments,Municipality,Communal,3,_00,_00,,*1 per Communa
,4_00_00,Plan Regulador Intercomunal,Territorial planning instruments,Municipality,Inter-communal,4,_00,_00,,https://portalipt.minvu.cl/
,4_00_00,Plan Regulador Metropolitano de Concepción,Territorial planning instruments,Municipality,Inter-communal,4,_00,_00,,https://gorebiobio.cl/plan-regulador-metropolitano-concepcion-prmc/
