comuna_cut,municipio,ipp_percibido_mclp,fcm_percibido_mclp,ip_percibido_mclp,ingresos_totales_percibido_mclp,ipp_devengado_mclp,fcm_devengado_mclp,ip_devengado_mclp,ingresos_totales_devengado_mclp,fcm_dependency,fcm_share_total_income,autonomy,fcm_contribution_ratio,operational_autonomy,source_vintage
04202,Canela,1120175,4983484,6103659,7562093,1133779,4983484,6117263,7660414,0.816475,0.659009,0.183525,0.06757380980855963,1.27234047431934,2026-06-14
04203,Los Vilos,3522693,13621975,17144668,22653127,3647170,13621975,17269145,22891442,0.794531,0.601329,0.205469,0.060794414906795824,1.32634979302508,2026-06-14
04204,Salamanca,4303824,7516089,11819913,16610249,4427951,7516099,11944050,17651530,0.635884,0.452497,0.364116,0.1611645365029605,1.62435899532519,2026-06-14
04301,Ovalle,10892378,21289019,32181397,43563425,11888443,21289019,33177462,48664462,0.661532,0.48869,0.338468,0.12600270590204274,1.13181526847476,2026-06-14
04302,Combarbalá,725865,6539720,7265585,8074651,727447,6539720,7267167,8111138,0.900095,0.809907,0.099905,0.03842045225177836,1.41424423442603,2026-06-14
04303,Monte Patria,1694174,10570187,12264361,15049556,1760365,10570187,12330552,16333186,0.861862,0.702359,0.138138,0.057893015516187175,1.32036985201183,2026-06-14
04304,Punitaqui,960871,5327647,6288518,7103288,1191118,5327647,6518765,7814431,0.847202,0.750025,0.152798,0.06007004593209723,1.63048073699541,2026-06-14
04305,Río Hurtado,574430,3421377,3995807,4870225,578604,3421377,3999981,4929686,0.856242,0.702509,0.143758,0.1324680092255253,1.42113864453244,2026-06-14
05101,Valparaíso,34713062,41718516,76431578,139988931,42079190,41718516,83797706,154131858,0.545828,0.298013,0.454172,0.13327403592208314,1.18849297583742,2026-06-14
05102,Casablanca,11154439,3448211,14602650,18032083,12377170,3448211,15825381,23578935,0.236136,0.191226,0.763864,0.40008311556340376,1.53202650008797,2026-06-14
05103,Concón,16688778,2894729,19583507,26297725,17541141,2894729,20435870,28636806,0.147815,0.110075,0.852185,1.1885119470596384,1.047911703511,2026-06-14
05104,Juan Fernández,207858,2391564,2599422,3266240,210008,2391564,2601572,3301285,0.920037,0.732207,0.079963,0.03413874769815903,1.0013625410987,2026-06-14
05105,Puchuncaví,9095287,5053432,14148719,18416564,9143528,5053432,14196960,24020328,0.357165,0.274396,0.642835,0.48476500722677185,1.184329293777,2026-06-14
05107,Quintero,5290269,18469221,23759490,28064426,5290269,18469221,23759490,28064426,0.777341,0.658101,0.222659,0.03929174922970492,1.37676187001652,2026-06-14
05109,Viña del Mar,109028964,13452551,122481515,141330417,113094737,13452551,126547288,157128962,0.109833,0.095185,0.890167,0.6795929634461152,1.28644248603994,2026-06-14
05201,Isla de Pascua,245793,28266570,28512363,28846275,258152,28266570,28524722,28933394,0.991379,0.979904,0.008621,0.0,1.51176486120381,2026-06-14
05301,Los Andes,7270242,12530577,19800819,24017765,8206136,12530577,20736713,29047523,0.632831,0.521721,0.367169,0.15143660184203808,1.12882424705406,2026-06-14
05302,Calle Larga,4732509,3694969,8427478,15448979,4732509,3694969,8427478,15947974,0.438443,0.239172,0.561557,1.5323016241814207,1.42490860018068,2026-06-14
05303,Rinconada,3752528,2552258,6304786,8718128,3752528,2552258,6304786,8718128,0.404813,0.292753,0.595187,0.27068109885442615,1.27355289282057,2026-06-14
05304,San Esteban,2197273,4852042,7049315,8584703,2197273,4852042,7049315,8584703,0.6883,0.565196,0.3117,0.18076492330445615,1.21772057524146,2026-06-14
05401,La Ligua,4142705,10209391,14352096,16958616,4937828,10209391,15147219,23109830,0.711352,0.602018,0.288648,0.08362310739200801,1.48220789251834,2026-06-14
05402,Cabildo,1672486,6153609,7826095,9248828,1672486,6153609,7826095,9302452,0.786294,0.665339,0.213706,0.09307156174531075,1.29977827971633,2026-06-14
05403,Papudo,4225539,2414345,6639884,8948720,4225539,2414345,6639884,9247608,0.363613,0.269798,0.636387,0.561076399603205,1.1971310901277,2026-06-14
05404,Petorca,1804741,4104806,5909547,9008873,1804741,4104806,5909547,9031629,0.694606,0.45564,0.305394,0.4506919450030038,1.28468887819803,2026-06-14
05405,Zapallar,22694918,2033373,24728291,30462033,24083556,2033373,26116929,36431231,0.082229,0.066751,0.917771,2.289013378263604,1.46802813869544,2026-06-14
05501,Quillota,10072291,13726266,23798557,28737676,11879844,13726266,25606110,39079908,0.576769,0.47764,0.423231,0.17191652850090478,0.989787847737609,2026-06-14
05502,Calera,4689631,9144445,13834076,16813843,5068102,9144445,14212547,20298091,0.661009,0.543864,0.338991,0.11732040599511506,1.22807262366501,2026-06-14
05503,Hijuelas,2800724,4252344,7053068,8434883,2813891,4252344,7066235,8725732,0.602907,0.504138,0.397093,0.17742355745442984,1.63925871729533,2026-06-14
05504,La Cruz,3005652,4332497,7338149,9763095,3119245,4332497,7451742,10229462,0.590407,0.443763,0.409593,0.3733666751529199,1.41334165116863,2026-06-14
05506,Nogales,2754269,5735957,8490226,10543975,2754269,5735957,8490226,10543975,0.675595,0.544003,0.324405,0.1506043368177272,1.33584625180803,2026-06-14
05601,San Antonio,12584997,13910643,26495640,30757727,13501921,13910643,27412564,35681198,0.525016,0.452265,0.474984,0.13920434878531496,1.02912383107738,2026-06-14
05602,Algarrobo,9869005,2795302,12664307,16020512,9869005,2795302,12664307,16020512,0.220723,0.174483,0.779277,0.6237562166807021,1.24249819673379,2026-06-14
05603,Cartagena,2530496,15765407,18295903,20990023,2600913,15765407,18366320,21742077,0.861691,0.751091,0.138309,0.03383661455742944,1.46009046288369,2026-06-14
05604,El Quisco,3833691,21634553,25468244,27518340,4719172,21634553,26353725,29705938,0.849472,0.786187,0.150528,0.025391326550634072,1.3964166038638,2026-06-14
05605,El Tabo,2971711,22096711,25068422,26520105,2971711,22096711,25068422,26387130,0.881456,0.833206,0.118544,0.024740243016257036,1.64286386957658,2026-06-14
05606,Santo Domingo,18047331,2927260,20974591,24206861,19141322,2927260,22068582,26671621,0.139562,0.120927,0.860438,0.597777102136469,1.42646981112763,2026-06-14
