award_id,numero_ingreso,ano,concurso_id,concurso,fecha_presentacion,tipo_concurso,objetivo_manejo,literal,region_num,region,puntaje,superficie_ha,presenter_type,monto_total_utm,monto_actividades_utm,monto_ordenacion_utm,aporte_propietario_utm,monto_asesoria_utm,monto_asistencia_tecnica_utm,monto_elaboracion_plan_utm,monto_informe_ejecucion_utm,tiene_plan_saff,tiene_bonificacion_saff,numero_bonos
1288218,541/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-03,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,41.57,6.0,Extensionista,34.33,34.33,0.0,0.0,,,,,,Si,
1285304,525/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,45.5,4.54,Extensionista,26.11,26.11,0.0,6.9,,,,,,Si,
1292858,1158/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,40.87,10.0,Extensionista,57.22,57.22,0.0,0.0,,,,,,Si,
1448611,961/2023,2023,1437526,Primer Concurso 2023 para Pequeños Propietarios Forestales y Otros Interesados.,2023-06-07,Otros Interesados,PRODUCCION MADERERA,C,9,La Araucanía,59.73,8.03,Extensionista,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Si,
1283045,273/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-04,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,58.87,9.0,Extensionista,51.54,51.54,0.0,0.0,,,,,,Si,
1292921,877/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,31.95,136.2,Personal Fomento Conaf,1228.52,1187.66,40.86,0.0,,,,,,Si,
1288772,572/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-06,Otros Interesados,PRODUCCION MADERERA,C,7,Maule,39.71,5.0,Extensionista,50.0,50.0,0.0,1.65,,,,,,Si,
1295017,1045/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION NO MADERERA,B,9,La Araucanía,52.87,15.23,Extensionista,85.82,85.82,0.0,0.0,,,,,,,
1290856,710/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-13,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,31.27,3.62,Extensionista,17.3,17.3,0.0,0.0,,,,,,Si,
1291815,773/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-14,Otros Interesados,BOSQUE PRESERVACION Y FORMACIONES XEROFITICAS DE ALTO VALOR ECOLOGICO,A,16,Ñuble,46.61,8.0,Extensionista,34.96,34.96,0.0,0.0,,,,,,Si,
