"gpc_sector","subsector","parameter_description","unit","minimum_geographic_granularity","data_type","declared_source_count","gap_status","source_1_provider","source_1_dataset_url","source_1_methodology_url","source_1_latest_reporting_year","source_1_year_coverage","source_1_geographic_coverage","source_1_granularity","source_2_provider","source_2_dataset_url","source_2_methodology_url","source_2_latest_reporting_year","source_2_year_coverage","source_2_geographic_coverage","source_2_granularity","source_3_provider","source_3_dataset_url","source_3_methodology_url","source_3_latest_reporting_year","source_3_year_coverage","source_3_geographic_coverage","source_3_granularity"
"Waste","Waste","Waste composition","%","State","Activity","3","","SNIS tool; ABRELPE: www.abrelpe.org.br","","","","","Brazil","Municipal","What a Waste Global Database","https://datacatalog.worldbank.org/search/dataset/0039597/what-a-waste-global-database","","2026","","Global","National","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","2026","","Global","City / Facility"
"Waste","Waste","Landfill characteristics.","varied","State","Activity","2","","SNIS tool; ABRELPE: www.abrelpe.org.br","","","","","Brazil","Municipal","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","2026","","Global","City / Facility","","","","","","",""
"Waste","Waste","Landfill gas collection efficiency","","State","Efficiency factor","1","","","","","","","Brazil","","CURB 2.0","https://datacatalog.worldbank.org/search/dataset/0042029/curb-climate-action-for-urban-sustainability","","2016","2016","Global","National","","","","","","",""
"Waste","Waste","Degradable organic carbon in year of deposition","","Global","Emission Factor","1","","","","","","","Brazil","","IPCC 2006","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Waste","Fraction of DOC that is ultimately degraded","","Global","Emission Factor","1","","","","","","","Brazil","","IPCC 2006","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Waste","Fraction of methane in landfill gas","","Global","Emission Factor","1","","","","","","","Brazil","","IPCC 2006","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Waste","Methane generation rates","","Global","Emission Factor","1","","","","","","","Brazil","","IPCC 2006 Volume 5 Chapter 3: Solid Waste Disposal, Table 3.3: Recommended Default Methane Generation Rate (k) Values Under Tier 1","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Waste","Emission factors for Composting","","Global","Emission Factor","1","","","","","","","Brazil","","2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 5 Chapter 4 Biological Treatment of Solid Waste Table 4.1: Default emission factors for CH4 and N2O emissions from biological treatment of waste","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Waste","Emission factors for anaerobic treatment","","Global","Emission Factor","1","","","","","","","Brazil","","2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 5 Chapter 4 Biological Treatment of Solid Waste Table 4.1: Default emission factors for CH4 and N2O emissions from biological treatment of waste","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Waste","Emission factors for incineation and open burning","","Global","Emission Factor","1","","","","","","","Brazil","","2006 IPCC Guidelines, Vol. 5, Ch. 2, Table 2.4 in Section 2.3 Waste composition and equation 5.8 (for dry matter), Equation 5.9 (for carbon content) and Equation 5.10 (for fossil carbon fraction) in 2006 IPCC Guidelines, Vol. 5, Ch. 5","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Wastewater","Industrial waste water generation","","City","Activity","2","","","","","","","Brazil","","IPCC 2006 Volume 5 Chapter 6: Wastewater, Table 6.9: Examples of industrial wastewater data","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","2026","","Global","City / Facility"
"Waste","Wastewater","BOD","","Global","Activity","1","","","","","","","Brazil","","IPCC 2006 Volume 5 Chapter 6: Wastewater, Table 6.4 Estimated BOD values in domestic wastewater for selected regions and countries","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","National","","","","","","",""
"Waste","Wastewater","MCF, industrial waste water","","City","Activity","1","","","","","","","Brazil","","IPCC 2006 Volume 5 Chapter 6: Wastewater, Table 6.8: Default MCF values for industrial wastewater","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Wastewater","Water delivery/treatment - efficiency","","City / State","Activity","1","","","","","","","Brazil","","IPCC 2006 Volume 5 Chapter 6: Wastewater, Table 6.3: Default MCF values for domestic water","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Rural / Urban","","","","","","",""
"Waste","Wastewater","Emission factors by type of treatment","","Global","Emission Factor","1","","","","","","","Brazil","","IPCC Guidelines 2006","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Waste","Wastewater","Wastewater treatment","","City","Activity","3","","SNIS tool; ANA (Atlas Esgotos)","","","","","Brazil","Municipal","IPCC 2006 Volume 5 Chapter 6: Wastewater, Table 6.5: Suggested Values for Degree of Treatment, Discharge Pathway or Method for Each Income Group for Selected Countries","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","National","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","2026","","Global","City / Facility"
"All","All","Total city emissions","tCO2","City","Emissions","3","","SEEG","https://plataforma.seeg.eco.br/?yearRange%5B0%5D=1990&yearRange%5B1%5D=2024&emissionType%5B0%5D=1&gas=8&groupBy=Sector&rankBy=State&filtersTab=highlights&statisticsTab=historical","","2024","","Brazil","City-level","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","2026","","Global","City","Carbon Monitor cities","https://www.nature.com/articles/s41597-022-01657-z","","Real Time","","Global","1500 cities in 46 countries"
"All","All","Sectoral city emissions","tCO2","City","Emissions","3","","SEEG","https://plataforma.seeg.eco.br/?yearRange%5B0%5D=1990&yearRange%5B1%5D=2024&emissionType%5B0%5D=1&gas=8&groupBy=Sector&rankBy=State&filtersTab=highlights&statisticsTab=historical","","2024","","Brazil","City-level","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Waste","2026","","Global","City","Carbon Monitor cities","https://www.nature.com/articles/s41597-022-01657-z","","Real Time","","Global","power generation, residential (buildings), industry, ground transportation, and aviation."
