project_id,project_name,action_id,sector,jurisdiction,lifecycle_stage,evaluation_verdict,cost_total,amount_committed,amount_paid,amount_unit,duration_months,beneficiaries_total,owner_formulator,match_label,source_dataset,n_funding_sources,route
conaf-bn-1392436,"Manejo bosque nativo, Aysén",ipcc_0054,afolu,Aysén,executed,,,46.4,46.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391684,"Manejo bosque nativo, La Araucanía",ipcc_0052,afolu,La Araucanía,executed,,,67.4,67.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1385079,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,101.0,101.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390823,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,awarded,,,282.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390775,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,awarded,,,5.8,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391099,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,34.5,34.5,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1383961,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,awarded,,,84.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1419775,"Manejo bosque nativo, Aysén",ipcc_0054,afolu,Aysén,awarded,,,13.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1410884,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,7.4,7.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1392145,"Manejo bosque nativo, La Araucanía",ipcc_0052,afolu,La Araucanía,executed,,,23.0,23.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1414170,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,29.6,29.6,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1384311,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,awarded,,,200.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386508,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,awarded,,,9.3,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1382156,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,awarded,,,36.3,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1389064,"Manejo bosque nativo, Ñuble",ipcc_0052,afolu,Ñuble,executed,,,7.5,7.5,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390956,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,36.0,36.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1385821,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,61.0,61.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390501,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,35.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386887,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,awarded,,,25.4,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391602,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,49.7,49.7,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1385776,"Manejo bosque nativo, Aysén",ipcc_0054,afolu,Aysén,awarded,,,138.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1384129,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,93.8,93.8,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1384765,"Manejo bosque nativo, Ñuble",ipcc_0054,afolu,Ñuble,executed,,,132.9,132.9,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1338302,"Manejo bosque nativo, Los Lagos",ipcc_0052,afolu,Los Lagos,awarded,,,338.8,,UTM,,,Propietario que postula su propio predio,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1388769,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,45.4,45.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391552,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,83.0,83.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1477280,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,911.9,911.9,UTM,,,Consultor,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1388679,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,83.0,83.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391290,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,42.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386570,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,6.7,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1382533,"Manejo bosque nativo, Los Ríos",ipcc_0054,afolu,Los Ríos,executed,,,34.4,34.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1421488,"Manejo bosque nativo, Los Ríos",ipcc_0054,afolu,Los Ríos,executed,,,34.4,34.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386709,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,32.2,32.2,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1387355,"Manejo bosque nativo, O'Higgins",ipcc_0054,afolu,O'Higgins,executed,,,98.0,98.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1384779,"Manejo bosque nativo, Ñuble",ipcc_0054,afolu,Ñuble,executed,,,21.1,21.1,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1387608,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,awarded,,,82.8,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391472,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,37.1,37.1,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1326045,"Manejo bosque nativo, O'Higgins",ipcc_0054,afolu,O'Higgins,awarded,,,40.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1384386,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,awarded,,,43.1,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
