action_id,action_name,sector,subsector,implementing_agent,intervention_type,matched_opportunity_count,avg_match_score_100,top3_avg_score_100,high_fit_count,fundability_score_100,fundability_band_relative,fundability_band_absolute,fundability_band,top_opportunity_ids
icare_0050,Accelerate the adoption of Agroforestry',stationary_energy,I.5,land_sector_actors,,211,79.92,90.91,189,92.53,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0099,Increase local participation in Agroecological Certification Programmes,stationary_energy,I.5,land_sector_actors,,211,79.92,90.91,189,92.53,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0127,Improve Accelerate Environmental Regularization of Rural Properties,stationary_energy,I.5,land_sector_actors,,211,79.92,90.91,189,92.53,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
c40_0015,Retrofit residential buildings for energy efficiency,stationary_energy,I.1,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency,stationary_energy,I.2,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
c40_0017,Retrofit municipal buildings for energy efficiency,stationary_energy,I.2,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,stationary_energy,I.4,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0012,Expand solar energy generation on municipal facilities and public assets,stationary_energy,I.4,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,stationary_energy,I.4,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0024,Integrate renewables into municipal water systems,stationary_energy,I.4,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0040,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,stationary_energy,I.1,municipal_government,infrastructure,176,83.88,100.00,158,92.39,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
