action_id,action_name,sector,subsector,implementing_agent,intervention_type,matched_opportunity_count,avg_match_score_100,top3_avg_score_100,high_fit_count,fundability_score_100,fundability_band_relative,fundability_band_absolute,fundability_band,top_opportunity_ids
c40_0025,Promote deployment of zero-emission freight fleets (trucks),transportation,II.1,municipal_government,program,81,91.58,100.00,80,84.91,low,high,low,PMU_SUBDERE_2026|COMUNA_ENERGETICA_MINENERGIA_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',waste,III.4,mixed_multi_actor,,105,77.14,81.82,100,84.55,low,high,low,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPR_MMA_2026|FPA_MMA_LINEA_COMUNITARIA_2026
ipcc_0105,Promote active mobility through road space reallocation,transportation,II.1,municipal_government,infrastructure,81,88.55,100.00,76,83.93,low,high,low,PMU_SUBDERE_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU|FIGEM_SUBDERE
icare_0139,Implement congestion pricing and restrictions on high-polluting vehicles,transportation,II.1,municipal_government,regulatory,81,88.55,100.00,74,83.43,low,high,low,PMU_SUBDERE_2026|COMUNA_ENERGETICA_MINENERGIA_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU
ipcc_0001,Promote compact urban form and transit-oriented development,transportation,II.1,municipal_government,planning,81,88.55,100.00,74,83.43,low,high,low,PMU_SUBDERE_2026|COMUNA_ENERGETICA_MINENERGIA_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU
c40_0023,Adopt zero-emission bus fleets for public transport,transportation,II.1,municipal_government,,81,82.49,90.91,76,82.99,low,high,low,PMU_SUBDERE_2026|COMUNA_ENERGETICA_MINENERGIA_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU
c40_0029,Electrify municipal vehicle fleets,transportation,II.1,municipal_government,,81,82.49,90.91,76,82.99,low,high,low,PMU_SUBDERE_2026|COMUNA_ENERGETICA_MINENERGIA_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU
icare_0117,Improve public transport systems to promote modal shift,transportation,II.1,municipal_government,,81,82.49,90.91,76,82.99,low,high,low,PMU_SUBDERE_2026|COMUNA_ENERGETICA_MINENERGIA_2026|ESPACIOS_PUBLICOS_MINVU_2026|FRIL_SUBDERE|ESPACIOS_PUBLICOS_MINVU
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",ippu_industry,IV.1,private_sector_industry,program,26,88.11,100.00,26,79.52,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,ippu_industry,IV.1,private_sector_industry,program,26,88.11,100.00,26,79.52,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0041,Support research into carbon-neutral manufacturing technologies,ippu_industry,IV.1,private_sector_industry,program,26,88.11,100.00,26,79.52,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,ippu_industry,IV.1,private_sector_industry,program,26,88.11,100.00,26,79.52,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0076,Implement energy audits in industrial plants,ippu_industry,IV.1,private_sector_industry,program,26,88.11,100.00,26,79.52,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0079,Implement carbon capture and utilization (CCU),ippu_industry,IV.1,private_sector_industry,infrastructure,26,86.01,100.00,24,77.98,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|CORFO_DPS_418|CAPACIDADES_TEC_CORFO
icare_0082,Implement carbon capture and storage (CCS),ippu_industry,IV.1,private_sector_industry,infrastructure,26,86.01,100.00,24,77.98,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|CORFO_DPS_418|CAPACIDADES_TEC_CORFO
ipcc_0038,Stimulate solar energy production in industrial facilities,ippu_industry,IV.2,private_sector_industry,infrastructure,26,86.01,100.00,24,77.98,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|CORFO_DPS_418|CAPACIDADES_TEC_CORFO
ipcc_0040,Promote industry-government collaborations on emissions reduction,ippu_industry,IV.1,private_sector_industry,planning,26,86.01,100.00,23,77.21,low,medium,low,ODEPA_AGRI_013|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418|CAPACIDADES_TEC_CORFO
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,ippu_industry,IV.1,private_sector_industry,regulatory,26,86.01,100.00,23,77.21,low,medium,low,ODEPA_AGRI_013|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418|CAPACIDADES_TEC_CORFO
ipcc_0049,Develop and implement circular economy policies,ippu_industry,IV.1,private_sector_industry,regulatory,26,86.01,100.00,23,77.21,low,medium,low,ODEPA_AGRI_013|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418|CAPACIDADES_TEC_CORFO
ipcc_0037,Adopt net-zero-emissions materials and supply chains,ippu_industry,IV.2,land_sector_actors,,26,79.37,90.91,23,76.33,low,medium,low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0001,Improve heat and energy recovery,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0034,Improve Fuel Supply Systems for Industrial Heating,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0071,Increase efficiency of industrial furnaces and kilns,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0074,Adopt industrial energy efficiency technologies,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0078,Decarbonize industrial feedstocks,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0024,Improve material utilization efficiency in production,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0026,Adopt alternative feedstocks in industrial production,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0031,Enhanced product service levels per product (e.g. product sharing),ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0045,Transition to renewable energy for industrial operations,ippu_industry,IV.1,private_sector_industry,,26,79.02,90.91,23,76.27,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
ipcc_0023,Design products with lightweight materials,ippu_industry,IV.1,municipal_government,program,17,84.49,100.00,17,75.47,very_low,medium,very_low,ODEPA_AGRI_013|APL_ASCC|CORFO_DPS_418|CHL_ED_013|MITIGATION_ACTION_FACILITY
ipcc_0039,Promote the substitution of traditional materials with sustainable alternatives,ippu_industry,IV.2,municipal_government,program,17,84.49,100.00,17,75.47,very_low,medium,very_low,ODEPA_AGRI_013|APL_ASCC|CORFO_DPS_418|CHL_ED_013|MITIGATION_ACTION_FACILITY
ipcc_0050,Create tax incentives for companies adopting clean technologies,ippu_industry,IV.1,municipal_government,financial,17,84.49,100.00,17,75.47,very_low,medium,very_low,ODEPA_AGRI_013|APL_ASCC|CORFO_DPS_418|CHL_ED_013|MITIGATION_ACTION_FACILITY
ipcc_0033,Improve product maintenance to extend lifespan,ippu_industry,IV.1,mixed_multi_actor,,26,70.63,81.82,15,68.92,very_low,medium,very_low,ODEPA_AGRI_013|CREDITO_VERDE_CORFO|APL_ASCC_CORFO|APL_ASCC|CORFO_DPS_418
icare_0076,Electrify Industrial Processes (with Renewable Power),ippu_industry,IV.1,municipal_government,,17,75.40,90.91,11,67.38,very_low,medium,very_low,ODEPA_AGRI_013|APL_ASCC|CORFO_DPS_418|CHL_ED_013|MITIGATION_ACTION_FACILITY
